Date,2015-05-01,
INDEX VALUE,1000.0000,
EFFECTIVE DATE,TICKER,NAME,ISIN,INDEX SHARES,PRICE,CURRENCY FACTOR,
2015-05-01,EXID IN Equity,EXID IN Equity,INE302A01020,2,176.1,63.145000,
2015-05-01,INOL IN Equity,INOL IN Equity,INE312H01016,2,160.6,63.145000,
2015-05-01,TC IN Equity,TC IN Equity,INE332A01027,2,238.05,63.145000,
2015-05-01,SOMC IN Equity,SOMC IN Equity,INE355A01028,2,400.05,63.145000,
2015-05-01,SINT IN Equity,SINT IN Equity,INE429C01035,2,104.85,63.145000,
2015-05-01,APHS IN Equity,APHS IN Equity,INE437A01024,2,1167.5,63.145000,
2015-05-01,SLHR IN Equity,SLHR IN Equity,INE657A01019,2,261.3,63.145000,
2015-05-01,TTKPT IN Equity,TTKPT IN Equity,INE690A01010,2,3700.75,63.145000,
2015-05-01,CRS IN Equity,CRS IN Equity,INE739E01017,2,2113.5,63.145000,
2015-05-01,PAG IN Equity,PAG IN Equity,INE761H01022,2,13139.9,63.145000,
2015-05-01,PCJL IN Equity,PCJL IN Equity,INE785M01013,2,323,63.145000,
2015-05-01,JUBI IN Equity,JUBI IN Equity,INE797F01012,2,1418.55,63.145000,
2015-05-01,AMRJ IN Equity,AMRJ IN Equity,INE885A01032,2,800.05,63.145000,
2015-05-01,VGRD IN Equity,VGRD IN Equity,INE951I01019,2,950.4,63.145000,
2015-05-01,HAWK IN Equity,HAWK IN Equity,INE979B01015,2,2877.7,63.145000,
2015-05-01,MHRL IN Equity,MHRL IN Equity,INE998I01010,2,254.15,63.145000,
2015-05-01,3993 HK Equity,3993 HK Equity,CNE100000114,2,7.55,7.750100,
2015-05-01,2600 HK Equity,2600 HK Equity,CNE1000001T8,2,5.43,7.750100,
2015-05-01,914 HK Equity,914 HK Equity,CNE1000001W2,2,32.95,7.750100,
2015-05-01,1800 HK Equity,1800 HK Equity,CNE1000002F5,2,15.12,7.750100,
2015-05-01,3323 HK Equity,3323 HK Equity,CNE1000002N9,2,9.59,7.750100,
2015-05-01,2883 HK Equity,2883 HK Equity,CNE1000002P4,2,16.5,7.750100,
2015-05-01,991 HK Equity,991 HK Equity,CNE1000002Z3,2,4.81,7.750100,
2015-05-01,1071 HK Equity,1071 HK Equity,CNE1000003D8,2,8.46,7.750100,
2015-05-01,358 HK Equity,358 HK Equity,CNE1000003K3,2,16.12,7.750100,
2015-05-01,2727 HK Equity,2727 HK Equity,CNE100000437,2,8.2,7.750100,
2015-05-01,2338 HK Equity,2338 HK Equity,CNE1000004L9,2,33,7.750100,
2015-05-01,3898 HK Equity,3898 HK Equity,CNE1000004X4,2,63.55,7.750100,
2015-05-01,2777 HK Equity,2777 HK Equity,CNE100000569,2,9.33,7.750100,
2015-05-01,902 HK Equity,902 HK Equity,CNE1000006Z4,2,11.18,7.750100,
2015-05-01,390 HK Equity,390 HK Equity,CNE1000007Z2,2,11.54,7.750100,
2015-05-01,1186 HK Equity,1186 HK Equity,CNE100000981,2,16.7,7.750100,
2015-05-01,1766 HK Equity,1766 HK Equity,CNE100000BG0,2,15.66,7.750100,
2015-05-01,2009 HK Equity,2009 HK Equity,CNE100000F20,2,9.57,7.750100,
2015-05-01,916 HK Equity,916 HK Equity,CNE100000HD4,2,10.18,7.750100,
2015-05-01,1157 HK Equity,1157 HK Equity,CNE100000X85,2,5.84,7.750100,
2015-05-01,2386 HK Equity,2386 HK Equity,CNE100001NV2,2,8.04,7.750100,
2015-05-01,762 HK Equity,762 HK Equity,HK0000049939,2,15.38,7.750100,
2015-05-01,2007 HK Equity,2007 HK Equity,KYG245241032,2,3.94,7.750100,
2015-05-01,3333 HK Equity,3333 HK Equity,KYG3225A1031,2,6.14,7.750100,
2015-05-01,960 HK Equity,960 HK Equity,KYG5635P1090,2,13.1,7.750100,
2015-05-01,384 HK Equity,384 HK Equity,BMG2109G1033,2,14.08,7.750100,
2015-05-01,728 HK Equity,728 HK Equity,CNE1000002V2,2,5.91,7.750100,
2015-05-01,656 HK Equity,656 HK Equity,HK0656038673,2,18.9,7.750100,
2015-05-01,2688 HK Equity,2688 HK Equity,KYG3066L1014,2,59.55,7.750100,
2015-05-01,813 HK Equity,813 HK Equity,KYG810431042,2,17.72,7.750100,
2015-05-01,8714 JP Equity,8714 JP Equity,JP3132600002,2,538,118.870000,
2015-05-01,2613 JP Equity,2613 JP Equity,JP3840000008,2,406,118.870000,
2015-05-01,1878 JP Equity,1878 JP Equity,JP3486800000,2,13925,118.870000,
2015-05-01,4203 JP Equity,4203 JP Equity,JP3409400003,2,553,118.870000,
2015-05-01,7862 JP Equity,7862 JP Equity,JP3629200001,2,1401,118.870000,
2015-05-01,8953 JP Equity,8953 JP Equity,JP3039710003,2,256600,118.870000,
2015-05-01,8960 JP Equity,8960 JP Equity,JP3045540006,2,189800,118.870000,
2015-05-01,8966 JP Equity,8966 JP Equity,JP3046220004,2,96300,118.870000,
2015-05-01,8968 JP Equity,8968 JP Equity,JP3046240002,2,216700,118.870000,
2015-05-01,8976 JP Equity,8976 JP Equity,JP3046310003,2,632000,118.870000,
2015-05-01,8985 JP Equity,8985 JP Equity,JP3046400002,2,87500,118.870000,
2015-05-01,3234 JP Equity,3234 JP Equity,JP3046470005,2,163600,118.870000,
2015-05-01,3249 JP Equity,3249 JP Equity,JP3046500009,2,575000,118.870000,
2015-05-01,3263 JP Equity,3263 JP Equity,JP3046770008,2,532000,118.870000,
2015-05-01,4985 JP Equity,4985 JP Equity,JP3100190002,2,4435,118.870000,
2015-05-01,6436 JP Equity,6436 JP Equity,JP3124400007,2,1622,118.870000,
2015-05-01,4739 JP Equity,4739 JP Equity,JP3143900003,2,2736,118.870000,
2015-05-01,4523 JP Equity,4523 JP Equity,JP3160400002,2,7907,118.870000,
2015-05-01,9437 JP Equity,9437 JP Equity,JP3165650007,2,2263.5,118.870000,
2015-05-01,9832 JP Equity,9832 JP Equity,JP3172500005,2,1882,118.870000,
2015-05-01,8545 JP Equity,8545 JP Equity,JP3227600008,2,1332,118.870000,
2015-05-01,7751 JP Equity,7751 JP Equity,JP3242800005,2,4358.5,118.870000,
2015-05-01,7739 JP Equity,7739 JP Equity,JP3243200007,2,2451,118.870000,
2015-05-01,3405 JP Equity,3405 JP Equity,JP3269600007,2,1662,118.870000,
2015-05-01,3002 JP Equity,3002 JP Equity,JP3275200008,2,328,118.870000,
2015-05-01,3635 JP Equity,3635 JP Equity,JP3283460008,2,1851,118.870000,
2015-05-01,6301 JP Equity,6301 JP Equity,JP3304200003,2,2482,118.870000,
2015-05-01,6417 JP Equity,6417 JP Equity,JP3326410002,2,4525,118.870000,
2015-05-01,5002 JP Equity,5002 JP Equity,JP3366800005,2,1168,118.870000,
2015-05-01,5020 JP Equity,5020 JP Equity,JP3386450005,2,527.6,118.870000,
2015-05-01,9069 JP Equity,9069 JP Equity,JP3423800006,2,774,118.870000,
2015-05-01,5012 JP Equity,5012 JP Equity,JP3428600005,2,1146,118.870000,
2015-05-01,4626 JP Equity,4626 JP Equity,JP3449100001,2,4235,118.870000,
2015-05-01,4502 JP Equity,4502 JP Equity,JP3463000004,2,6291,118.870000,
2015-05-01,4508 JP Equity,4508 JP Equity,JP3469000008,2,2095,118.870000,
2015-05-01,7262 JP Equity,7262 JP Equity,JP3496600002,2,1702,118.870000,
2015-05-01,8185 JP Equity,8185 JP Equity,JP3528400009,2,2604,118.870000,
2015-05-01,4540 JP Equity,4540 JP Equity,JP3535800001,2,2828,118.870000,
2015-05-01,9021 JP Equity,9021 JP Equity,JP3659000008,2,6682,118.870000,
2015-05-01,2602 JP Equity,2602 JP Equity,JP3677200002,2,439,118.870000,
2015-05-01,9432 JP Equity,9432 JP Equity,JP3735400008,2,8369,118.870000,
2015-05-01,8283 JP Equity,8283 JP Equity,JP3782200004,2,1769,118.870000,
2015-05-01,6581 JP Equity,6581 JP Equity,JP3787400005,2,983,118.870000,
2015-05-01,4921 JP Equity,4921 JP Equity,JP3802670004,2,1585,118.870000,
2015-05-01,6412 JP Equity,6412 JP Equity,JP3834200002,2,2549,118.870000,
2015-05-01,1379 JP Equity,1379 JP Equity,JP3843250006,2,2170,118.870000,
2015-05-01,3738 JP Equity,3738 JP Equity,JP3893700009,2,1680,118.870000,
2015-05-01,4680 JP Equity,4680 JP Equity,JP3966800009,2,633,118.870000,
2015-05-01,2651 JP Equity,2651 JP Equity,JP3982100004,2,8670,118.870000,
2015-05-01,3591 JP Equity,3591 JP Equity,JP3992400006,2,1349,118.870000,
2015-05-01,SUEL IN Equity,SUEL IN Equity,INE040H01021,2,24,63.145000,
2015-05-01,SUNP IN Equity,SUNP IN Equity,INE044A01036,2,924.85,63.145000,
2015-05-01,VKI IN Equity,VKI IN Equity,INE051B01021,2,102.4,63.145000,
2015-05-01,SHRS IN Equity,SHRS IN Equity,INE087H01022,2,12.65,63.145000,
2015-05-01,GRAN IN Equity,GRAN IN Equity,INE101D01020,2,79.1,63.145000,
2015-05-01,CYL IN Equity,CYL IN Equity,INE136B01020,2,485.3,63.145000,
2015-05-01,PIEL IN Equity,PIEL IN Equity,INE140A01024,2,980.6,63.145000,
2015-05-01,KSK IN Equity,KSK IN Equity,INE143H01015,2,57.55,63.145000,
2015-05-01,GTIC IN Equity,GTIC IN Equity,INE152B01027,2,203.05,63.145000,
2015-05-01,AIAE IN Equity,AIAE IN Equity,INE212H01026,2,1050.1,63.145000,
2015-05-01,SADE IN Equity,SADE IN Equity,INE226H01026,2,297.6,63.145000,
2015-05-01,SPADV IN Equity,SPADV IN Equity,INE232I01014,2,402.7,63.145000,
2015-05-01,KMB IN Equity,KMB IN Equity,INE237A01028,2,1342.05,63.145000,
2015-05-01,ARCP IN Equity,ARCP IN Equity,INE242C01024,2,38,63.145000,
2015-05-01,GVKP IN Equity,GVKP IN Equity,INE251H01024,2,8.45,63.145000,
2015-05-01,PSYS IN Equity,PSYS IN Equity,INE262H01013,2,706.4,63.145000,
2015-05-01,PVKP IN Equity,PVKP IN Equity,INE323I01011,2,64.75,63.145000,
2015-05-01,MOFS IN Equity,MOFS IN Equity,INE338I01027,2,282.25,63.145000,
2015-05-01,SOIL IN Equity,SOIL IN Equity,INE343H01011,2,3389.1,63.145000,
2015-05-01,DIVI IN Equity,DIVI IN Equity,INE361B01024,2,1762.3,63.145000,
2015-05-01,BIOS IN Equity,BIOS IN Equity,INE376G01013,2,441.8,63.145000,
2015-05-01,ARBP IN Equity,ARBP IN Equity,INE406A01037,2,1293.35,63.145000,
2015-05-01,AGLL IN Equity,AGLL IN Equity,INE418H01029,2,321.45,63.145000,
2015-05-01,ADE IN Equity,ADE IN Equity,INE423A01024,2,653.95,63.145000,
2015-05-01,KSCL IN Equity,KSCL IN Equity,INE455I01029,2,851.45,63.145000,
2015-05-01,HTSMF IN Equity,HTSMF IN Equity,INE473B01035,2,317.45,63.145000,
2015-05-01,MGMA IN Equity,MGMA IN Equity,INE511C01022,2,92.95,63.145000,
2015-05-01,IIFL IN Equity,IIFL IN Equity,INE530B01024,2,175.85,63.145000,
2015-05-01,EDEL IN Equity,EDEL IN Equity,INE532F01054,2,61.55,63.145000,
2015-05-01,PIPV IN Equity,PIPV IN Equity,INE542F01012,2,57.5,63.145000,
2015-05-01,HMN IN Equity,HMN IN Equity,INE548C01032,2,944.45,63.145000,
2015-05-01,NITEC IN Equity,NITEC IN Equity,INE591G01017,2,361.9,63.145000,
2015-05-01,JUST IN Equity,JUST IN Equity,INE599M01018,2,1079.65,63.145000,
2015-05-01,FRL IN Equity,FRL IN Equity,INE623B01027,2,108.1,63.145000,
2015-05-01,UPLL IN Equity,UPLL IN Equity,INE628A01036,2,475.85,63.145000,
2015-05-01,INFOE IN Equity,INFOE IN Equity,INE663F01024,2,784.15,63.145000,
2015-05-01,JYL IN Equity,JYL IN Equity,INE668F01031,2,248.3,63.145000,
2015-05-01,JOL IN Equity,JOL IN Equity,INE700A01033,2,148.7,63.145000,
2015-05-01,ECLX IN Equity,ECLX IN Equity,INE738I01010,2,1582.6,63.145000,
2015-05-01,GMRI IN Equity,GMRI IN Equity,INE776C01039,2,15.05,63.145000,
2015-05-01,JM IN Equity,JM IN Equity,INE780C01023,2,47.2,63.145000,
2015-05-01,SLPA IN Equity,SLPA IN Equity,INE790G01023,2,842.3,63.145000,
2015-05-01,OAXE IN Equity,OAXE IN Equity,INE800H01010,2,134.85,63.145000,
2015-05-01,SRIN IN Equity,SRIN IN Equity,INE805D01026,2,263.25,63.145000,
